num_inspection;evaluation;departement
16793484;2;80
16787460;3;14
16740394;2;74
16898106;2;91
16723209;1;29
16748988;1;92
16791765;3;29
16772421;2;78
16704097;3;91
16716214;2;80
16739695;2;14
16652033;3;29
16851093;2;29
16697705;3;91
16767415;3;29
16735187;2;29
16773792;1;92
16753544;3;92
16737742;3;29
16653463;2;92
16828204;2;29
16821255;1;38
16677985;3;84
16922759;2;78
16857178;3;14
16714489;1;78
16731518;3;38
16721805;2;74
16772671;2;78
16768716;2;74
16696499;3;29
16796869;1;92
16768733;2;74
16777743;3;91
16726783;2;74
16750117;1;92
16728813;1;78
16862191;2;92
16707874;2;92
16650131;3;91
16668818;1;78
16723174;2;94
16794883;2;92
16751130;1;78
16666985;2;80
16691762;3;41
16746273;1;63
16878370;2;63
16767435;3;29
16679987;2;92
16665123;3;91
16698420;2;92
16717611;1;56
16722092;1;92
16699130;3;29
16663724;2;94
16782694;3;29
16773957;3;38
16846288;1;78
16758441;3;91
16781967;3;91
16867569;2;27
16797535;3;92
16718022;2;92
16850011;3;63
16885207;3;91
16807977;1;92
16907782;2;38
16743568;2;78
16769283;3;92
16718023;2;92
16761636;1;78
16667281;2;92
16696638;2;80
16686935;2;80
16817923;2;38
16677816;1;94
16778659;3;29
16710604;3;38
16708525;2;80
16646611;2;80
16753566;3;63
16754359;1;38
16677645;3;91
16726011;2;78
16938410;2;92
16749628;2;92
16810289;3;29
16736467;2;80
16834355;1;91
16680362;2;80
16907838;3;38
16732404;1;78
16939736;3;84
16761022;2;74
16645406;3;29
16663036;2;92
16755059;3;29
16791334;1;92
16749461;3;29
16775917;3;29
16680660;2;80
16699139;2;29
16757228;2;92
16641367;1;77
16677957;3;84
16730776;2;80
16857898;1;78
16727924;1;92
16887851;2;92
16856476;2;78
16698419;2;92
16738935;2;74
16731551;3;38
16660570;2;74
16763103;3;38
16645966;3;29
16816297;1;92
16782685;2;29
16659010;2;91
16921313;2;92
16832013;2;38
16661787;2;78
16667311;2;92
16737172;3;38
16716521;1;91
16700690;0;38
16806739;2;92
16754429;3;38
16795526;2;92
16750900;3;92
16708776;2;78
16712008;3;38
16715984;2;92
16796471;3;92
16780566;2;92
16696695;2;92
16740408;2;74
16657002;2;56
16772582;2;91
16736217;3;38
16773607;1;92
16668548;1;92
16714910;1;29
16795064;2;92
16738422;1;63
16799396;2;91
16675312;3;29
16756729;2;92
16742181;3;29
16777533;2;80
16798154;2;92
16657760;3;91
16709898;2;92
16774392;3;78
16813900;3;29
16723229;2;29
16889605;2;92
16947627;2;92
16660042;2;91
16754639;3;91
16713165;2;63
16921826;3;91
16737223;1;92
16822401;1;78
16796985;3;91
16848693;2;92
16795770;2;29
16678872;2;14
16675483;3;95
16651251;2;92
16647188;3;91
16890719;2;63
16742172;3;29
16857885;2;78
16703615;3;29
16852075;2;92
16800077;2;29
16707019;3;41
16698492;2;38
16867446;3;63
16711213;2;92
16874992;2;92
16711701;1;29
16774576;2;29
16702242;3;91
16685636;2;80
16755259;1;95
16784038;3;14
16956938;2;92
16645086;1;92
16809720;2;78
16780669;1;94
16673365;1;91
16743506;2;78
16781375;2;80
16820804;1;92
16764657;2;92
16705626;2;29
16938613;2;92
16744104;1;92
16941961;3;38
16803989;2;78
16712171;1;92
16823017;2;92
16711225;2;92
16851541;2;92
16833582;2;92
16728201;2;92
16761007;1;92
16761559;1;78
16821805;1;41
16923161;1;78
16680287;3;63
16651317;2;92
16711509;2;92
16848901;1;78
16893583;3;38
16747145;2;92
16761600;1;78
16692221;2;62
16680557;1;92
16688047;2;74
16789626;1;78
16743450;2;78
16684762;3;91
16762364;1;38
16714369;3;78
16958513;3;41
16739710;1;78
16685156;2;94
16669075;3;65
16805686;1;92
16782875;2;78
16653294;3;63
16764712;1;92
16869667;1;92
16703805;1;78
16675609;2;78
16751699;2;92
16685132;1;63
16728080;2;38
16938606;2;92
16938501;2;92
16722563;1;92
16741179;2;92
16732239;2;92
16921533;2;92
16702948;2;74
16674341;2;74
16715756;2;80
16756721;2;92
16649341;2;80
16931235;1;73
16770719;2;92
16711566;1;92
16770933;1;78
16945993;1;92
16679934;2;78
16780043;1;92
16697740;2;78
16716003;1;92
16729489;3;92
16654861;1;63
16730935;2;92
16684848;1;78
16711204;2;92
16702026;3;92
16893908;3;14
16901949;2;92
16711114;2;92
16714543;2;80
16842689;2;92
16847788;2;78
16727226;1;78
16715484;2;14
16780275;3;91
16671305;1;78
16716573;1;92
16646622;2;78
16717731;2;62
16737782;3;29
16729143;1;92
16823025;2;92
16858769;1;94
16744059;2;74
16865778;2;91
16703526;2;92
16868316;1;78
16697009;2;78
16767111;1;78
16797923;1;92
16778784;3;29
16677652;1;78
16641769;2;56
16778808;2;92
16668981;2;78
16882970;2;92
16747095;2;77
16933560;2;78
16645274;3;92
16876478;2;92
16705804;3;38
16654781;2;95
16685944;2;78
16770119;2;92
16698585;1;78
16950164;3;92
16715372;1;92
16856551;2;78
16946745;2;92
16711080;2;92
16712288;2;92
16728824;1;92
16755050;3;29
16887915;2;92
16754548;1;92
16895249;2;91
16727258;2;78
16666866;2;92
16814573;3;38
16722073;2;92
16742708;1;92
16875930;2;78
16917607;3;91
16903697;3;38
16779759;2;92
16891696;2;92
16738968;2;74
16953628;2;91
16739720;1;78
16717680;1;62
16748216;1;92
16883439;1;92
16818649;3;29
16710314;2;80
16712296;2;92
16889573;2;92
16748175;2;92
16639984;3;38
16781587;3;92
16837723;2;80
16788129;2;92
16711234;2;92
16798883;2;38
16755472;3;91
16652050;3;29
16815397;1;94
16849860;2;92
16832291;2;80
16798474;2;92
16675319;3;29
16703602;2;29
16794999;2;80
16732126;2;92
16762033;3;29
16750683;2;38
16708321;3;84
16682290;2;80
16751625;2;92
16763681;1;38
16699100;3;29
16671445;2;14
16702613;3;74
16759849;2;92
16737568;1;92
16749789;1;92
16679901;2;92
16670126;2;91
16882206;1;91
16667769;3;29
16810468;1;38
16812507;3;14
16738156;2;92
16728383;2;38
23-043290-1;3;59
16731621;1;29
16747876;2;80
22-101206-1;2;69
16817884;2;92
16736945;3;38
22-093149-1;2;37
16915045;2;38
16712063;3;38
23-038651-1;2;93
16765295;2;92
16713918;2;92
23-046971-1;2;56
16761514;2;78
16700889;3;84
23-002342-1;3;84
16700170;2;94
16765739;2;78
22-048698-1;2;97
16748745;2;38
16821794;1;41
23-050867-1;3;69
16815070;2;92
16973167;2;92
23-052291-1;3;38
16875488;1;78
16694724;2;78
23-034827-1;2;25
16810269;3;29
16675123;2;91
23-069041-1;3;5
16898952;3;14
16714905;2;94
22-100099-1;3;85
16701878;2;38
16720397;2;14
23-050983-1;2;75
23-022833-1;2;8
16755023;3;29
23-034820-1;2;25
23-076580-1;2;1
16770093;2;92
22-096503-1;3;81
23-073408-1;2;38
16848790;2;78
23-034815-1;2;25
23-007905-1;1;43
16763621;3;29
22-097099-1;3;71
23-067058-1;2;20
16777599;3;91
23-050937-1;2;75
23-015193-1;2;37
16709589;2;80
23-026236-1;2;62
23-017641-1;3;46
16744440;1;78
23-051740-1;2;31
23-037451-1;2;95
16675423;2;91
22-098620-1;3;7
23-060560-1;1;26
16776274;3;92
22-101103-1;2;21
22-106021-1;2;72
16732254;3;38
23-024574-1;3;97
23-020603-1;3;85
16808397;2;80
22-091347-1;2;75
23-051689-1;2;31
16808002;1;92
23-052652-1;2;75
23-042170-1;2;71
16964156;3;84
23-050934-1;3;93
23-046933-1;1;97
16688115;2;74
23-007495-1;3;29
22-105235-1;3;63
23-010546-1;3;16
23-082675-1;3;11
22-095896-1;2;92
23-006398-1;3;63
22-023814-1;2;97
23-052981-1;2;93
22-104563-1;2;53
23-050892-1;2;93
23-051121-1;2;31
23-032930-1;3;20
23-054183-1;2;31
23-050920-1;1;44
23-069517-1;1;42
23-068054-1;3;75
23-057087-1;2;93
23-045034-1;2;94
23-011881-1;2;59
23-061488-1;2;50
22-101141-1;2;21
23-013800-1;2;26
23-006681-1;2;75
22-095880-1;3;67
23-033006-1;1;93
23-004880-1;2;12
23-059860-1;2;33
22-104491-1;2;94
23-001219-1;2;75
22-101136-1;2;21
23-050723-1;2;35
23-032912-1;3;75
23-024146-1;3;30
23-083339-1;3;17
23-008571-1;2;35
23-028490-1;3;30
23-019708-1;3;7
23-007390-1;3;7
23-051607-1;3;3
23-014249-1;3;23
23-052821-1;3;44
23-034850-1;2;20
23-034026-1;2;97
23-051078-1;2;83
23-019620-1;3;7
23-026346-1;2;72
23-069673-1;1;72
22-107712-1;2;40
23-041597-1;3;75
23-019445-1;3;97
23-024347-1;3;91
23-011796-1;2;94
23-007935-1;2;78
23-033566-1;3;75
23-067308-1;3;60
23-007798-1;1;81
23-038748-1;3;91
23-034562-1;3;20
22-010583-1;2;9
22-105890-1;2;45
22-098957-1;3;4
23-007213-1;3;72
23-033056-1;3;75
23-018635-1;2;75
23-023729-1;2;64
23-079194-1;2;75
22-106238-1;2;40
23-005864-1;2;30
23-009096-1;3;94
22-087822-1;3;51
23-002708-1;2;75
23-033050-1;3;95
23-048646-1;3;68
23-073171-1;2;93
23-004004-1;3;47
23-040593-1;3;74
23-003199-1;2;75
23-005008-1;1;58
23-050963-1;3;93
22-106965-1;2;75
23-063112-1;3;69
23-059363-1;2;52
23-072589-1;2;69
23-054840-1;3;41
23-050960-1;3;75
23-032955-1;3;69
23-060753-1;2;40
23-051041-1;2;54
23-028489-1;3;30
23-026079-1;3;59
23-032911-1;2;59
23-078824-1;2;37
23-017975-1;2;75
23-050459-1;3;69
23-081921-1;3;55
23-016794-1;2;59
23-033065-1;3;75
23-018531-1;2;66
23-016391-1;2;59
23-043779-1;1;91
23-071221-1;2;56
22-109037-1;2;40
23-050442-1;3;69
22-104317-1;3;57
22-104015-1;2;31
23-059428-1;2;60
23-000412-1;3;95
23-026075-1;3;59
22-092208-1;2;58
23-050416-1;3;69
23-055787-1;2;81
23-051034-1;3;38
22-093037-1;2;94
23-051058-1;2;97
23-009979-1;2;84
23-055845-1;1;62
23-014483-1;1;33
23-002060-1;2;83
22-093118-1;3;51
23-079582-1;2;75
23-058515-1;2;69
22-105106-1;2;31
22-108162-1;2;56
23-014484-1;2;33
23-046266-1;1;49
23-054750-1;2;29
23-011317-1;2;94
22-096270-1;3;25
23-026217-1;2;34
23-066259-1;3;31
22-068850-1;2;57
23-051088-1;3;94
23-029328-1;2;74
23-007066-1;3;75
23-006655-1;3;7
